name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Dr. Reckeweg R71 Sciatica Drop,bottle of 22 ml Drop,₹285,₹251,https://www.1mg.com/otc/dr.-reckeweg-r71-sciatica-drop-otc325999
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Bakson's Homeopathy Throat Aid Tablet,bottle of 200 tablets,₹500,₹427,https://www.1mg.com/otc/bakson-s-homeopathy-throat-aid-tablet-otc502934
Dr. Reckeweg R7 Liver and Gallbladder Drop,bottle of 22 ml Drop,₹285,₹228,https://www.1mg.com/otc/dr.-reckeweg-r7-liver-and-gallbladder-drop-otc326075
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,https://www.1mg.com/otc/sbl-nux-vomica-dilution-200-ch-otc338195
Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹598,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-phosphorica-biochemic-tablet-6x-otc695108
Dr. Reckeweg R85 High Blood Pressure Drop,bottle of 30 ml Drop,₹330,₹277,https://www.1mg.com/otc/dr.-reckeweg-r85-high-blood-pressure-drop-otc326018
SBL Prostonum Drop,bottle of 30 ml Drop,₹170,₹163,https://www.1mg.com/otc/sbl-prostonum-drop-otc329004
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. Reckeweg R42 Varicosis Drop,bottle of 22 ml Drop,₹285,₹253,https://www.1mg.com/otc/dr.-reckeweg-r42-varicosis-drop-otc326032
SBL Berberis Aquifolium Gel,tube of 25 gm Gel,₹75,₹72.4,https://www.1mg.com/otc/sbl-berberis-aquifolium-gel-otc330988
Dr. Reckeweg R11 Rheumatism Drop,bottle of 22 ml Drop,₹285,₹256,https://www.1mg.com/otc/dr.-reckeweg-r11-rheumatism-drop-otc327504
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,bottle of 10 ml Eye Drop,₹200,₹192,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-schwabe-eye-drop-alcohol-free-otc824401
SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹136,https://www.1mg.com/otc/sbl-jaborandi-mother-tincture-q-otc338446
SBL Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹141,https://www.1mg.com/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503
SBL Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹103,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-6x-otc331042
Dr. Reckeweg R65 Psoriasis Drop,bottle of 22 ml Drop,₹285,₹255,https://www.1mg.com/otc/dr.-reckeweg-r65-psoriasis-drop-otc326001
ADEL 18 Glucorect Drop,bottle of 20 ml Drop,₹310,₹272,https://www.1mg.com/otc/adel-18-glucorect-drop-otc327731
Dr. Reckeweg R49 Sinus Drop,bottle of 22 ml Drop,NA,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r49-sinus-drop-otc327421
Bakson's Homeopathy Gastro Aid Tablet,bottle of 200 tablets,₹500,₹430,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc386762
SBL Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹425,₹386,https://www.1mg.com/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448
SBL Arnica Montana Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-arnica-montana-dilution-30-ch-otc338218
Dr. Reckeweg R59 Weight Loss,bottle of 22 ml Drop,NA,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r59-weight-loss-otc326007
SBL Stobal Cough Syrup,bottle of 500 ml Syrup,₹300,₹280,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc857676
SBL Calcarea Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹82,https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-6x-otc331091
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695225
SBL Dibonil Drop,bottle of 30 ml Drop,₹135,₹132,https://www.1mg.com/otc/sbl-dibonil-drop-otc327094
Bakson's Homeopathy Rheum Aid Tablet,bottle of 200 tablets,₹500,₹374,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc386770
SBL Liv T Tonic,bottle of 180 ml Tonic,₹170,₹155,https://www.1mg.com/otc/sbl-liv-t-tonic-otc328967
Dr. Reckeweg R84 Inhalent Allergy Drop,bottle of 30 ml Drop,₹330,₹289,https://www.1mg.com/otc/dr.-reckeweg-r84-inhalent-allergy-drop-otc326011
SBL Bryonia Alba Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-30-ch-otc346050
Bakson's Homeopathy Pilgo Tablet,bottle of 75 tablets,₹215,₹167,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc327078
SBL Rhus Toxicodendron Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹100,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-200-ch-otc338182
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹200,₹177,https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909
Dr Willmar Schwabe India Alpha-Coff Cough Syrup,bottle of 100 ml Syrup,₹115,₹105,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-coff-cough-syrup-otc407060
Dr. Reckeweg Nux Vomica Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹126,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-30-ch-otc336264
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹108,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170
SBL Crataegus Oxyacantha Q Mother Tincture,bottle of 30 ml Mother Tincture,₹105,₹94,https://www.1mg.com/otc/sbl-crataegus-oxyacantha-q-mother-tincture-otc338491
Dr. Reckeweg R16 Migraine and Neuralgia Drop,bottle of 22 ml Drop,₹285,₹233,https://www.1mg.com/otc/dr.-reckeweg-r16-migraine-and-neuralgia-drop-otc326067
SBL Damiagra Forte Drop,bottle of 30 ml Drop,₹400,₹348,https://www.1mg.com/otc/sbl-damiagra-forte-drop-otc385769
SBL Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-terminalia-arjuna-mother-tincture-q-otc338411
Dr. Reckeweg R82 Anti Fungal Drop,bottle of 30 ml Drop,₹330,₹264,https://www.1mg.com/otc/dr.-reckeweg-r82-anti-fungal-drop-otc326002
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹194,https://www.1mg.com/otc/sbl-arnica-montana-mother-tincture-q-otc338517
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Belladonna Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-belladonna-dilution-30-ch-otc338213
Bakson's Homeopathy Sinus Aid Tablet,bottle of 75 tablets,₹215,₹153,https://www.1mg.com/otc/bakson-s-homeopathy-sinus-aid-tablet-otc325988
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Bryonia Alba Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹102,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-200-ch-otc346051
SBL Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹280,₹273,https://www.1mg.com/otc/sbl-sabal-serrulata-mother-tincture-q-otc338421
Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹195,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-6-bc-6-tablet-otc326281
Dr. Reckeweg Arsenicum Album 30 Dilution,bottle of 11 ml Dilution,₹145,₹122,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-30-dilution-otc328906
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. Reckeweg R27 Renal Calculi Drop,bottle of 22 ml Drop,₹285,₹251,https://www.1mg.com/otc/dr.-reckeweg-r27-renal-calculi-drop-otc326057
Hapdco Aqui Plus Cream,tube of 25 gm Cream,₹110,₹103,https://www.1mg.com/otc/hapdco-aqui-plus-cream-otc357587
SBL Lycopodium Clavatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-30-ch-otc338200
Dr. Reckeweg Rhus Tox Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹168,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-200-ch-otc331703
Dr. Reckeweg Aalserum 7X Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹243,https://www.1mg.com/otc/dr.-reckeweg-aalserum-7x-mother-tincture-q-otc327821
Wheezal Hekla Lava Dental Cream,tube of 100 gm Cream,₹85,₹79,https://www.1mg.com/otc/wheezal-hekla-lava-dental-cream-otc339191
New Life NL-2 Blood Urea Creatinin Drop,bottle of 30 ml Drop,₹160,₹150,https://www.1mg.com/otc/new-life-nl-2-blood-urea-creatinin-drop-otc326171
Bakson's Homeopathy Pilgo Tablet,bottle of 200 tablets,₹500,₹321,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc386760
Wheezal Mel-X Melasma Tablet,bottle of 75 tablets,₹230,₹207,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713525
Lord's Ylo Tablet,bottle of 1000 tablets,₹1200,₹852,https://www.1mg.com/otc/lord-s-ylo-tablet-otc561524
SBL Magnesia Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-magnesia-phosphorica-biochemic-tablet-6x-otc331031
SBL FP-Tabs Tablet,bottle of 25 gm Tablet,₹165,₹137,https://www.1mg.com/otc/sbl-fp-tabs-tablet-otc329015
SBL Bio-Combination 21 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹81,https://www.1mg.com/otc/sbl-bio-combination-21-tablet-otc331070
SBL Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹218,https://www.1mg.com/otc/sbl-berberis-aquifolium-mother-tincture-q-otc338512
SBL Rauwolfia Serpentina Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-rauwolfia-serpentina-mother-tincture-q-otc338425
Dr. Reckeweg Testes Siccati Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹227,https://www.1mg.com/otc/dr.-reckeweg-testes-siccati-trituration-tablet-3x-otc326929
SBL Calendula Cream,tube of 25 gm Cream,₹75,₹66.8,https://www.1mg.com/otc/sbl-calendula-cream-otc330989
SBL Carbo Vegetabilis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-30-ch-otc338206
SBL Carduus Marianus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹126,https://www.1mg.com/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
SBL Bio-Combination 25 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-bio-combination-25-tablet-otc331077
SBL Aconitum Napellus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹96,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-30-ch-otc345696
SBL Five Phos Tablet 6X,bottle of 25 gm Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-five-phos-tablet-6x-otc608306
SBL Homeocal Tablet,bottle of 25 gm Tablet,₹165,₹160,https://www.1mg.com/otc/sbl-homeocal-tablet-otc326109
Bakson's Homeopathy Tonsil Aid Tablet,bottle of 75 tablets,₹215,₹205,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc402187
New Life Bach Flower Rescue Remedy 30,bottle of 30 ml Dilution,₹125,₹111,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc386623
Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹221,https://www.1mg.com/otc/dr-willmar-schwabe-india-phytolacca-berry-mother-tincture-q-otc391484
Dr. Reckeweg V-C 15 Forte Tonic,box of 12 tonics,₹1260,₹1084,https://www.1mg.com/otc/dr.-reckeweg-v-c-15-forte-tonic-otc327329
Dr. Reckeweg Aconitum Napellus Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-30-ch-otc326806
Dr. Reckeweg Ashwagandha Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹302,https://www.1mg.com/otc/dr.-reckeweg-ashwagandha-mother-tincture-q-otc327798
Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹185,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-21-bc-21-tablet-otc326262
Dr. Reckeweg R2 Essentia Aurea-Gold Drop,bottle of 22 ml Drop,₹285,₹228,https://www.1mg.com/otc/dr.-reckeweg-r2-essentia-aurea-gold-drop-otc327508
SBL Phytolacca Berry Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹211,https://www.1mg.com/otc/sbl-phytolacca-berry-mother-tincture-q-otc338433
Dr. Reckeweg Lycopodium Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹162,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-200-ch-otc336001
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
ADEL 4 Apo-Rheum Drop,bottle of 20 ml Drop,₹310,₹275,https://www.1mg.com/otc/adel-4-apo-rheum-drop-otc325870
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr. Reckeweg R8 Jut-U-Sin Cough Syrup,bottle of 150 ml Syrup,₹525,₹470,https://www.1mg.com/otc/dr.-reckeweg-r8-jut-u-sin-cough-syrup-otc326074
SBL Lycopodium Clavatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg R18 Kidney And Bladder Drop,bottle of 22 ml Drop,₹285,₹235,https://www.1mg.com/otc/dr.-reckeweg-r18-kidney-and-bladder-drop-otc326065
HHP Rheumonil Drop,bottle of 30 ml Oral Drops,NA,MRP₹120,https://www.1mg.com/otc/hhp-rheumonil-drop-otc862578
Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹124,https://www.1mg.com/otc/dr-willmar-schwabe-india-chelidonium-majus-mother-tincture-q-otc390853
Dr. Reckeweg R1 Inflammation Drop,bottle of 22 ml Drop,₹285,₹234,https://www.1mg.com/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Nixocid Tablet,bottle of 25 gm Tablet,₹165,₹160,https://www.1mg.com/otc/sbl-nixocid-tablet-otc326119
SBL Belladonna Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹107,https://www.1mg.com/otc/sbl-belladonna-dilution-200-ch-otc338212
Dr. Reckeweg R3 Heart Drop,bottle of 22 ml Drop,₹285,₹241,https://www.1mg.com/otc/dr.-reckeweg-r3-heart-drop-otc326082
SBL Hepar Sulphur Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹100,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-200-ch-otc347863
SBL Rhus Toxicodendron Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97.5,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-30-ch-otc338184
Dr. Reckeweg R29 Vertigo And Syncope Drop,bottle of 22 ml Drop,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r29-vertigo-and-syncope-drop-otc327467
SBL Alfalfa Tonic with Ginseng,bottle of 180 ml Tonic,₹175,₹168,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328976
Bakson's Homeopathy Natrum Phosphoricum Biochemic Tablet 12X,bottle of 4500 biochemic tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-phosphoricum-biochemic-tablet-12x-otc695237
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,jar of 450 gm Paste,₹355,₹324,https://www.1mg.com/otc/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate-otc325799
SBL Arnica Gel,tube of 25 gm Gel,₹75,₹68,https://www.1mg.com/otc/sbl-arnica-gel-otc330982
SBL Ferrum Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹105,https://www.1mg.com/otc/sbl-ferrum-phosphoricum-biochemic-tablet-6x-otc331056
Allen A84 Lipoma Drop,bottle of 30 ml Drop,₹170,₹147,https://www.1mg.com/otc/allen-a84-lipoma-drop-otc330453
SBL Rite-Hite Tablet,bottle of 25 gm Tablet,₹165,₹116,https://www.1mg.com/otc/sbl-rite-hite-tablet-otc329012
Dr Willmar Schwabe Germany Gastrobin Drop,bottle of 20 ml Drop,₹230,₹213,https://www.1mg.com/otc/dr-willmar-schwabe-germany-gastrobin-drop-otc326129
Adven Osteodin-Z Oral Drops (25ml Each),box of 2 bottles,₹555,₹424,https://www.1mg.com/otc/adven-osteodin-z-oral-drops-25ml-each-otc567455
SBL Bio-Combination 20 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-bio-combination-20-tablet-otc331069
