name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Bakson's Homeopathy Flu Aid Tablet,bottle of 75 tablets,₹215,₹171,https://www.1mg.com/otc/bakson-s-homeopathy-flu-aid-tablet-otc327081
SBL Conium Maculatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹87,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-30-ch-otc338338
Allen A89 Cholesterol Drop,bottle of 30 ml Drop,₹170,₹158,https://www.1mg.com/otc/allen-a89-cholesterol-drop-otc330355
Dr Willmar Schwabe India Rhus Toxicodendron Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-rhus-toxicodendron-dilution-30-ch-otc393454
SBL Bio-Combination 7 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹99,https://www.1mg.com/otc/sbl-bio-combination-7-tablet-otc331028
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
ADEL 66 Toxex Drop,bottle of 20 ml Drop,₹310,₹275,https://www.1mg.com/otc/adel-66-toxex-drop-otc326069
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Tinospora Cordifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-tinospora-cordifolia-mother-tincture-q-otc338565
Bakson's Homeopathy Phytolacca Berry Tablet,bottle of 200 tablets,₹500,₹450,https://www.1mg.com/otc/bakson-s-homeopathy-phytolacca-berry-tablet-otc502895
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg R74 Nocturnal Enuresis Drop,bottle of 22 ml Drop,₹285,₹242,https://www.1mg.com/otc/dr.-reckeweg-r74-nocturnal-enuresis-drop-otc326125
SBL Ratanhia Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-ratanhia-dilution-30-ch-otc348588
SBL Phosphorus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-phosphorus-dilution-30-ch-otc338306
Hapdco B.Ve. Phos Children Tonic,bottle of 450 ml Tonic,₹310,₹303,https://www.1mg.com/otc/hapdco-b.ve.-phos-children-tonic-otc386091
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. Reckeweg R48 Pulmonary Diseases Drop,bottle of 22 ml Drop,₹285,₹279,https://www.1mg.com/otc/dr.-reckeweg-r48-pulmonary-diseases-drop-otc327424
ADEL 33 Apo-Oedem Drop,bottle of 20 ml Drop,₹310,₹275,https://www.1mg.com/otc/adel-33-apo-oedem-drop-otc327728
SBL Senega Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹111,https://www.1mg.com/otc/sbl-senega-mother-tincture-q-otc338417
SBL Acid Nitricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-acid-nitricum-dilution-200-ch-otc345620
SBL Jaborandi Plus Hair Oil,bottle of 200 ml Oil,NA,MRP₹300,https://www.1mg.com/otc/sbl-jaborandi-plus-hair-oil-otc328682
Bjain Jaborandi Mother Tincture Q,bottle of 100 ml Mother Tincture,₹345,₹288,https://www.1mg.com/otc/bjain-jaborandi-mother-tincture-q-otc445151
Dr. Reckeweg Bio-Combination 4 (BC 4) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-4-bc-4-tablet-otc326283
Dr. Reckeweg Hair Care Combo (R89 + Lycopodium Dilution 30CH),packet of 1 Kit,₹475,₹466,https://www.1mg.com/otc/dr.-reckeweg-hair-care-combo-r89-lycopodium-dilution-30ch-otc371393
Dr Willmar Schwabe India Alpha - Acid Tablet,bottle of 20 gm Tablet,₹198,₹190,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-acid-tablet-otc328839
Hapdco Cholerasol Drop,bottle of 30 ml Drop,₹90,₹78,https://www.1mg.com/otc/hapdco-cholerasol-drop-otc386096
SBL Kreosotum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹235,https://www.1mg.com/otc/sbl-kreosotum-mother-tincture-q-otc338687
Dr. Reckeweg R21 Reconstituant Drop,bottle of 22 ml Drop,₹285,₹253,https://www.1mg.com/otc/dr.-reckeweg-r21-reconstituant-drop-otc327478
Dr Willmar Schwabe India Ocimum Sanctum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-ocimum-sanctum-mother-tincture-q-otc391430
Dr. Reckeweg R33 Epilepsy Drop,bottle of 22 ml Drop,₹285,₹232,https://www.1mg.com/otc/dr.-reckeweg-r33-epilepsy-drop-otc326042
ADEL 85 Neu-Regen Tonic,bottle of 250 ml Tonic,₹770,₹715,https://www.1mg.com/otc/adel-85-neu-regen-tonic-otc327650
ADEL 16 Gastul Drop,bottle of 20 ml Drop,₹310,₹268,https://www.1mg.com/otc/adel-16-gastul-drop-otc327732
Dr. Reckeweg R83 Food Allergy Drop,bottle of 30 ml Drop,₹330,₹290,https://www.1mg.com/otc/dr.-reckeweg-r83-food-allergy-drop-otc327403
Dr. Reckeweg R63 Impaired Circulation Drop,bottle of 22 ml Drop,₹285,₹246,https://www.1mg.com/otc/dr.-reckeweg-r63-impaired-circulation-drop-otc327396
Dr. Reckeweg Caladium Seg Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹139,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-30-ch-otc326875
Wheezal Arnica Hair N Scalp Anti-Dandruff Shampoo,bottle of 100 ml Shampoo,₹140,₹138,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-anti-dandruff-shampoo-otc771395
Dr. Reckeweg R10 Climacteric Drop,bottle of 22 ml Drop,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r10-climacteric-drop-otc327505
Bakson's Homeopathy Kof Aid Cough Syrup,bottle of 450 ml Syrup,₹260,₹229,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-cough-syrup-otc502844
Dr Willmar Schwabe India Arnica Montana Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-dilution-30-ch-otc396565
SBL Anti-Dandruff Shampoo,bottle of 100 ml Shampoo,₹115,₹110,https://www.1mg.com/otc/sbl-anti-dandruff-shampoo-otc417229
Dr. Reckeweg Natrum Mur Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹162,https://www.1mg.com/otc/dr.-reckeweg-natrum-mur-dilution-200-ch-otc330531
SBL Antimonium Crudum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-antimonium-crudum-dilution-200-ch-otc345890
Sunny Herbals Derm Aid Soap,packet of 75 gm Soap,₹55,₹49,https://www.1mg.com/otc/sunny-herbals-derm-aid-soap-otc499056
Dr. Reckeweg Natrum Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹200,₹180,https://www.1mg.com/otc/dr.-reckeweg-natrum-phosphoricum-biochemic-tablet-6x-otc327877
SBL Embelica Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹100,https://www.1mg.com/otc/sbl-embelica-officinalis-mother-tincture-q-otc338487
SBL FP-Tabs Tablet,bottle of 450 gm Tablet,₹865,₹678,https://www.1mg.com/otc/sbl-fp-tabs-tablet-otc812925
Dr. Reckeweg R4 Diarrhoea Drop,bottle of 22 ml Drop,₹285,₹253,https://www.1mg.com/otc/dr.-reckeweg-r4-diarrhoea-drop-otc326080
SBL Cantharis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-cantharis-dilution-200-ch-otc346096
SBL Arnica Montana Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹133,https://www.1mg.com/otc/sbl-arnica-montana-dilution-1000-ch-otc338217
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Denton Tablet,bottle of 25 gm Tablet,₹165,₹160,https://www.1mg.com/otc/sbl-denton-tablet-otc329026
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr. Reckeweg R77 Anti-Smoking Drop,bottle of 22 ml Drop,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r77-anti-smoking-drop-otc326124
ADEL 48 Itires Drop,bottle of 20 ml Drop,₹310,₹269,https://www.1mg.com/otc/adel-48-itires-drop-otc326079
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Bio-Combination 20 Tablet,bottle of 450 gm Biocombination Tablet,₹720,₹559,https://www.1mg.com/otc/sbl-bio-combination-20-tablet-otc812878
SBL Kalmegh Paediatric Drop,bottle of 30 ml Drop,₹95,₹80,https://www.1mg.com/otc/sbl-kalmegh-paediatric-drop-otc331015
SBL Cholesterinum Trituration Tablet 6X,bottle of 25 gm Trituration Tablet,₹175,₹170,https://www.1mg.com/otc/sbl-cholesterinum-trituration-tablet-6x-otc339004
Bakson's Homeopathy Astha Aid Syrup,bottle of 450 ml Syrup,₹340,₹309,https://www.1mg.com/otc/bakson-s-homeopathy-astha-aid-syrup-otc502678
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Aloe Socotrina Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-aloe-socotrina-dilution-200-ch-otc345746
ADEL 1 Apo-Dolor Drop,bottle of 20 ml Drop,₹310,₹279,https://www.1mg.com/otc/adel-1-apo-dolor-drop-otc326144
SBL Silk N Stay Aloe Vera Cream for Normal / Oily Skin,tube of 50 gm Cream,₹65,₹60,https://www.1mg.com/otc/sbl-silk-n-stay-aloe-vera-cream-for-normal-oily-skin-otc328964
Dr. Reckeweg Natrum Mur Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹123,https://www.1mg.com/otc/dr.-reckeweg-natrum-mur-dilution-30-ch-otc326572
Dr Willmar Schwabe India Echinacea Angustifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹210,https://www.1mg.com/otc/dr-willmar-schwabe-india-echinacea-angustifolia-mother-tincture-q-otc390939
SBL Azadirachta Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-azadirachta-indica-mother-tincture-q-otc338514
SBL Silicea Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-silicea-biochemic-tablet-12x-otc368310
SBL Staphysagria Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹97,https://www.1mg.com/otc/sbl-staphysagria-dilution-200-ch-otc348744
Dr Willmar Schwabe India Histaminum Hydrochloricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹85,https://www.1mg.com/otc/dr-willmar-schwabe-india-histaminum-hydrochloricum-dilution-30-ch-otc404000
SBL Rite-Hite Tablet,bottle of 450 gm Tablet,₹865,₹717,https://www.1mg.com/otc/sbl-rite-hite-tablet-otc812931
SBL Fel Tauri Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹150,https://www.1mg.com/otc/sbl-fel-tauri-trituration-tablet-3x-otc339003
Dr Willmar Schwabe India Arsenicum Album Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹90,https://www.1mg.com/otc/dr-willmar-schwabe-india-arsenicum-album-dilution-200-ch-otc396374
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 100 ml Mother Tincture,₹910,₹900,https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc574982
Allen A90 Ovarian Cysts Drop,bottle of 30 ml Drop,₹170,₹167,https://www.1mg.com/otc/allen-a90-ovarian-cysts-drop-otc330237
SBL Agnus Castus Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-agnus-castus-dilution-200-ch-otc345717
Medisynth Aqui Folium Cream,tube of 20 gm Cream,NA,MRP₹100,https://www.1mg.com/otc/medisynth-aqui-folium-cream-otc339304
SBL Arnica Montana Fortified Hair Oil,bottle of 200 ml Oil,₹205,₹204,https://www.1mg.com/otc/sbl-arnica-montana-fortified-hair-oil-otc328966
REPL Dr. Advice No.73 Nasal Polyp Drop,bottle of 30 ml Drop,₹180,₹175,https://www.1mg.com/otc/repl-dr.-advice-no.73-nasal-polyp-drop-otc339410
Dr. Reckeweg Baryta Carb Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-baryta-carb-dilution-200-ch-otc328890
SBL Grindelia Robusta Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹229,https://www.1mg.com/otc/sbl-grindelia-robusta-mother-tincture-q-otc348933
Dr. Reckeweg Acid Nitricum Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹138,https://www.1mg.com/otc/dr.-reckeweg-acid-nitricum-dilution-30-ch-otc326835
Bakson's Homeopathy Beepee Aid Drop,bottle of 100 ml Drop,₹330,₹294,https://www.1mg.com/otc/bakson-s-homeopathy-beepee-aid-drop-otc659393
Adven Justin Cough Syrup,bottle of 180 ml Syrup,₹175,₹170,https://www.1mg.com/otc/adven-justin-cough-syrup-otc328945
SBL Natrum Sulphurica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-natrum-sulphurica-biochemic-tablet-6x-otc331023
SBL Silk N Stay Antiseptic Calendula Soap,box of 75 gm Soap,NA,MRP₹55,https://www.1mg.com/otc/sbl-silk-n-stay-antiseptic-calendula-soap-otc330955
Bakson's Homeopathy Astha Aid Tablet,bottle of 75 tablets,₹215,₹191,https://www.1mg.com/otc/bakson-s-homeopathy-astha-aid-tablet-otc325991
SBL Chamomilla Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹77,https://www.1mg.com/otc/sbl-chamomilla-dilution-30-ch-otc338352
Boericke and Tafel Anti-Dandruff Oil,bottle of 150 ml Oil,₹135,₹132,https://www.1mg.com/otc/boericke-and-tafel-anti-dandruff-oil-otc388283
SBL Yohimbinum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹284,https://www.1mg.com/otc/sbl-yohimbinum-mother-tincture-q-otc348873
Dr. Reckeweg Silicea Dilution 200,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-silicea-dilution-200-otc331657
Allen A65 Bronchitis Drop,bottle of 30 ml Drop,₹170,₹153,https://www.1mg.com/otc/allen-a65-bronchitis-drop-otc330438
Hapdco Reumacon Pain Killer Oil,bottle of 60 ml Oil,₹175,₹167,https://www.1mg.com/otc/hapdco-reumacon-pain-killer-oil-otc370867
SBL Rumex Crispus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-rumex-crispus-dilution-30-ch-otc348617
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr. Reckeweg R56 Oxysan Vermifuge Drop,bottle of 22 ml Drop,₹285,₹230,https://www.1mg.com/otc/dr.-reckeweg-r56-oxysan-vermifuge-drop-otc327414
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Homeodent Neem Plus Toothpaste,tube of 100 gm Toothpaste,NA,MRP₹75,https://www.1mg.com/otc/sbl-homeodent-neem-plus-toothpaste-otc360100
ADEL 24 Septonsil Drop,bottle of 20 ml Drop,₹310,₹269,https://www.1mg.com/otc/adel-24-septonsil-drop-otc326096
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Dysmin Tablet,bottle of 25 gm Tablet,₹165,₹134,https://www.1mg.com/otc/sbl-dysmin-tablet-otc328995
Dr Willmar Schwabe Germany Tonsiotren Tablet,bottle of 20 gm Tablet,₹440,₹406,https://www.1mg.com/otc/dr-willmar-schwabe-germany-tonsiotren-tablet-otc327184
Bakson's Homeopathy Calci Aid Tablet,bottle of 75 tablets,₹215,₹172,https://www.1mg.com/otc/bakson-s-homeopathy-calci-aid-tablet-otc327082
Sunny Herbals Hair Color 12 Sachets Black,box of 240 gm Powder,₹600,₹552,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-black-otc538260
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Eupatorium Perfoliatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹92.5,https://www.1mg.com/otc/sbl-eupatorium-perfoliatum-dilution-30-ch-otc338202
Dr Willmar Schwabe India Alpha - HA Drop,bottle of 30 ml Drop,₹125,₹114,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-ha-drop-otc327175
Dr. Reckeweg Allium Cepa Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹135,https://www.1mg.com/otc/dr.-reckeweg-allium-cepa-dilution-30-ch-otc326918
Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,https://www.1mg.com/otc/dr-willmar-schwabe-india-thuja-occidentalis-dilution-200-ch-otc406388
SBL Ceanothus Americanus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹306,https://www.1mg.com/otc/sbl-ceanothus-americanus-mother-tincture-q-otc338505
Dr Willmar Schwabe India Rhus Toxicodendron Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹102,https://www.1mg.com/otc/dr-willmar-schwabe-india-rhus-toxicodendron-dilution-200-ch-otc393451
SBL Drosera Rotundifolia Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-drosera-rotundifolia-dilution-30-ch-otc349141
Bakson B1 Influenza & Fever Drop,bottle of 30 ml Drop,₹185,₹146,https://www.1mg.com/otc/bakson-b1-influenza-fever-drop-otc387989
Dr Willmar Schwabe India Aurum Muriaticum Natronatum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹270,₹240,https://www.1mg.com/otc/dr-willmar-schwabe-india-aurum-muriaticum-natronatum-trituration-tablet-3x-otc401631
SBL Lycopodium Clavatum Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹132,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-1000-ch-otc348183
SBL Insulinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-insulinum-dilution-200-ch-otc348862
Dr Willmar Schwabe India Calcarea Carbonica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/dr-willmar-schwabe-india-calcarea-carbonica-dilution-200-ch-otc398265
Dr Willmar Schwabe India Tussistin Syrup,bottle of 100 ml Syrup,₹100,₹93,https://www.1mg.com/otc/dr-willmar-schwabe-india-tussistin-syrup-otc326127
Dr Willmar Schwabe India Phytolacca Berry Tablet (4 in 1 Combo Pack) Tablet,bottle of 80 gm Tablet,₹580,₹488,https://www.1mg.com/otc/dr-willmar-schwabe-india-phytolacca-berry-tablet-4-in-1-combo-pack-tablet-otc328855
Wheezal Dr. Farokh J. Master's Wl 45 Anti-Snoring Drop,bottle of 30 ml Drop,₹175,₹159,https://www.1mg.com/otc/wheezal-dr.-farokh-j.-master-s-wl-45-anti-snoring-drop-otc715731
German's No Piles Care and Cure Drop,bottle of 30 ml Drop,₹170,₹157,https://www.1mg.com/otc/german-s-no-piles-care-and-cure-drop-otc650015
Bakson's Homeopathy Kof Aid Plus Cough Syrup Sugar Free,bottle of 450 ml Syrup,₹240,₹223,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-plus-cough-syrup-sugar-free-otc659086
REPL Kamsutram Oil,bottle of 15 ml Oil,₹299,₹287,https://www.1mg.com/otc/repl-kamsutram-oil-otc339462
SBL Aloe Socotrina Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-aloe-socotrina-dilution-30-ch-otc338387
SBL Bio-Combination 2 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹107,https://www.1mg.com/otc/sbl-bio-combination-2-tablet-otc331016
Dr Willmar Schwabe India Bryonia Alba Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/dr-willmar-schwabe-india-bryonia-alba-dilution-30-ch-otc398020
Dr Willmar Schwabe India Alfalfa Tonic For Children,bottle of 100 ml Tonic,₹130,₹118,https://www.1mg.com/otc/dr-willmar-schwabe-india-alfalfa-tonic-for-children-otc407044
ADEL 78 Dercut Ointment,tube of 35 gm Ointment,₹530,₹493,https://www.1mg.com/otc/adel-78-dercut-ointment-otc326056
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/dr-willmar-schwabe-india-lycopodium-clavatum-dilution-30-ch-otc405141
SBL Antimonium Crudum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-antimonium-crudum-dilution-30-ch-otc338381
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹139,https://www.1mg.com/otc/dr.-reckeweg-hepar-sulphur-dilution-30-ch-otc326735
Dr Willmar Schwabe India Ginseng MT Tablet 1X,bottle of 20 gm Tablet,₹320,₹268,https://www.1mg.com/otc/dr-willmar-schwabe-india-ginseng-mt-tablet-1x-otc327334
Dr. Reckeweg Insulinum Trituration Tablet 10X,bottle of 20 gm Trituration Tablet,₹255,₹227,https://www.1mg.com/otc/dr.-reckeweg-insulinum-trituration-tablet-10x-otc326934
ADEL 10 Deasth Drop,bottle of 20 ml Drop,₹295,₹250,https://www.1mg.com/otc/adel-10-deasth-drop-otc326113
Haslab Drox 14 Goutrin Drop,bottle of 30 ml Drop,₹170,₹141,https://www.1mg.com/otc/haslab-drox-14-goutrin-drop-otc339516
Bjain Calendula Officinalis Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹147,https://www.1mg.com/otc/bjain-calendula-officinalis-mother-tincture-q-otc445062
Dr. Reckeweg Gelsemium Sempervirens Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹149,https://www.1mg.com/otc/dr.-reckeweg-gelsemium-sempervirens-dilution-200-ch-otc335274
SBL Robinia Pseudacacia Dilution 6 CH,bottle of 30 ml Dilution,₹100,₹84,https://www.1mg.com/otc/sbl-robinia-pseudacacia-dilution-6-ch-otc355929
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr. Reckeweg Ruta Graveolens Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹138,https://www.1mg.com/otc/dr.-reckeweg-ruta-graveolens-dilution-30-ch-otc326464
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Bakson's Homeopathy Gastro Aid Syrup,bottle of 450 ml Syrup,₹275,₹232,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-syrup-otc502785
SBL Graphites Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-graphites-dilution-200-ch-otc347752
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Allen Osteofit Tablet,bottle of 25 gm Tablet,₹175,₹161,https://www.1mg.com/otc/allen-osteofit-tablet-otc330409
Dr. Reckeweg Echinacea Ang Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹292,https://www.1mg.com/otc/dr.-reckeweg-echinacea-ang-mother-tincture-q-otc327751
SBL Bio-Combination 15 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-bio-combination-15-tablet-otc331061
ADEL Berberis Vulg Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹262,https://www.1mg.com/otc/adel-berberis-vulg-mother-tincture-q-otc328879
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
REPL Vigoura 5x Drop,bottle of 30 ml Drop,₹499,₹493,https://www.1mg.com/otc/repl-vigoura-5x-drop-otc326006
SBL Baptisia Tinctoria Mother Tincture Q,bottle of 30 ml Mother Tincture,₹280,₹254,https://www.1mg.com/otc/sbl-baptisia-tinctoria-mother-tincture-q-otc348868
SBL Sarsaparilla Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹206,https://www.1mg.com/otc/sbl-sarsaparilla-mother-tincture-q-otc338420
Dr. Reckeweg Acid Fluor Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹119,https://www.1mg.com/otc/dr.-reckeweg-acid-fluor-dilution-30-ch-otc326854
Dr Willmar Schwabe India Hamamelis Virginica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹137,https://www.1mg.com/otc/dr-willmar-schwabe-india-hamamelis-virginica-mother-tincture-q-otc391051
SBL Boerhaavia Diffusa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹99.2,https://www.1mg.com/otc/sbl-boerhaavia-diffusa-mother-tincture-q-otc348881
SBL Bio-Combination 10 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹98,https://www.1mg.com/otc/sbl-bio-combination-10-tablet-otc331046
Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,bottle of 250 biochemic tablets,₹120,₹98,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-phosphorica-biochemic-tablet-6x-otc695107
SBL Thlaspi Bursa Pastoris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹201,https://www.1mg.com/otc/sbl-thlaspi-bursa-pastoris-mother-tincture-q-otc349007
German's Thuja Anti Warts Cream,tube of 25 gm Cream,₹70,₹63,https://www.1mg.com/otc/german-s-thuja-anti-warts-cream-otc651865
SBL Dulcamara Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-dulcamara-dilution-30-ch-otc338334
